Filing Date,Ticker,Company Name,Insider Name,Transaction Price,Price Bought,Value,24h_Change_%,1w_Change_%,1m_Change_%
2025-03-04 18:30:03,TMCI,"Treace Medical Concepts, Inc.",Treace John T.,8.73,8.5,524064,+2.59%,,
2025-03-04 17:25:09,NOG,"Northern Oil & Gas, Inc.",Akradi Bahram,28.03,28.43,1121360,-5.42%,,
2025-03-04 17:03:02,AUPH,Aurinia Pharmaceuticals Inc.,Tang Kevin,7.95,8.1,12713126,+1.11%,,
2025-03-04 16:30:59,TBLA,Taboola.Com Ltd.,Limon Zvi,2.83,2.78,707500,+2.52%,,
2025-03-04 16:24:36,MRNA,"Moderna, Inc.",Sagan Paul,31.76,30.37,1004251,+12.94%,,
2025-03-04 16:07:21,STRL,"Sterling Infrastructure, Inc.",Cutillo Joseph A,124.32,124.64,1009511,-3.15%,,
2025-03-04 16:05:12,CDXS,"Codexis, Inc.",Opaleye Management Inc.,2.95,2.72,574340,+0.37%,,
2025-03-04 15:57:22,FMC,Fmc Corp,Brondeau Pierre R,35.9,36.71,1938449,+9.67%,,
2025-03-04 10:25:31,FERA,Fifth Era Acquisition Corp I,Fifth Era Acquisition Sponsor I LLC,10.0,,3800000,,,
2025-03-03 21:16:18,RUN,Sunrun Inc.,Fenster Edward Harris,6.8,6.1797,1020600,+11.66%,+13.11%,
2025-03-03 19:29:43,CBNA,Chain Bridge Bancorp Inc,Friedman Martin S.,24.35,24.15,628238,-3.6%,-9.15%,
2025-03-03 19:22:05,JELD,"Jeld-Wen Holding, Inc.",Turtle Creek Asset Management Inc.,5.89,5.64,854358,+-0.0%,+7.62%,
2025-03-03 19:12:54,STAA,Staar Surgical Co,"Broadwood Partners, L.P.",16.99,16.55,11275555,+9.79%,+18.73%,
2025-03-03 18:56:54,FLWS,1 800 Flowers Com Inc,"Fund 1 Investments, LLC",6.89,6.62,2310868,-0.45%,-0.76%,
2025-03-03 17:26:31,TTSH,"Tile Shop Holdings, Inc.","Fund 1 Investments, LLC",7.44,7.41,2244166,-6.34%,-10.39%,
2025-03-03 17:15:58,LINE,"Lineage, Inc.",Marchetti Kevin Patrick,60.51,60.71,982229,+1.66%,+0.02%,
2025-03-03 17:13:24,GO,Grocery Outlet Holding Corp.,Ragatz Erik D.,12.25,11.83,2021250,-3.04%,+13.78%,
2025-03-03 16:20:18,CCO,"Clear Channel Outdoor Holdings, Inc.",Moreland W Benjamin,1.26,1.33,1008000,-3.01%,-6.77%,
2025-03-03 16:15:32,PBF,Pbf Energy Inc.,Control Empresarial De Capitales S.A. De C.V.,21.17,20.16,2540004,-0.5%,+3.27%,
2025-03-03 10:52:53,DGICA,Donegal Group Inc,Donegal Mutual Insurance Co,17.21,17.68,510996,+1.47%,-0.62%,
2025-02-20 19:42:29,RCUS,"Arcus Biosciences, Inc.","Gilead Sciences, Inc.",11.0,11.3,14999996,-2.04%,-3.63%,
2025-02-20 16:13:06,VLY,Valley National Bancorp,Bank Leumi Le Israel Bm,9.35,9.88,9350000,-3.44%,-0.4%,
2025-02-19 21:16:08,RZLT,"Rezolute, Inc.",Kim Young-Jin,4.0,4.5,5000000,+0.67%,-5.78%,
2025-02-19 18:54:09,LLIAX,Lord Abbett Flexible Income Fund,O'Brien Andrew H.,10.0,,500000,,,
