Filing Date,Ticker,Company Name,Insider Name,Transaction Price,Price Bought,Value
2025-03-03 19:22:05,JELD,"Jeld-Wen Holding, Inc.",Turtle Creek Asset Management Inc.,5.89,5.64,854358
2025-03-03 19:12:54,STAA,Staar Surgical Co,"Broadwood Partners, L.P.",16.99,16.55,11275555
2025-03-03 18:56:54,FLWS,1 800 Flowers Com Inc,"Fund 1 Investments, LLC",6.89,6.62,2310868
2025-03-03 17:26:31,TTSH,"Tile Shop Holdings, Inc.","Fund 1 Investments, LLC",7.44,7.41,2244166
2025-03-03 17:15:58,LINE,"Lineage, Inc.",Marchetti Kevin Patrick,60.51,60.71,982229
2025-03-03 17:13:24,GO,Grocery Outlet Holding Corp.,Ragatz Erik D.,12.25,11.83,2021250
2025-03-03 16:20:18,CCO,"Clear Channel Outdoor Holdings, Inc.",Moreland W Benjamin,1.26,1.33,1008000
2025-03-03 16:15:32,PBF,Pbf Energy Inc.,Control Empresarial De Capitales S.A. De C.V.,21.17,20.16,2540004
2025-03-03 10:52:53,DGICA,Donegal Group Inc,Donegal Mutual Insurance Co,17.21,17.68,510996
2025-02-20 19:42:29,RCUS,"Arcus Biosciences, Inc.","Gilead Sciences, Inc.",11.0,11.3,14999996
2025-02-20 16:13:06,VLY,Valley National Bancorp,Bank Leumi Le Israel Bm,9.35,9.88,9350000
2025-02-19 21:16:08,RZLT,"Rezolute, Inc.",Kim Young-Jin,4.0,4.5,5000000
2025-02-19 18:54:09,LLIAX,Lord Abbett Flexible Income Fund,O'Brien Andrew H.,10.0,,500000
2025-02-19 18:00:05,ATAI,Atai Life Sciences N.V.,Apeiron Investment Group Ltd.,2.1,2.1101,22755008
2025-02-19 17:52:03,MBX,"Mbx Biosciences, Inc.",Orbimed Advisors LLC,10.6,11.23,2020756
2025-02-19 16:23:26,BRKR,Bruker Corp,Laukien Frank H,50.92,53.0,1018330
2025-02-19 16:16:39,SLDB,Solid Biosciences Inc.,"Adage Capital Management, L.P.",7.56,6.5,1909240
2025-02-13 18:27:21,SCISX,Ma Specialty Credit Income Fund,Ma Eagle II Holdings Fund,24.99,25.0,2444642
2025-02-12 21:16:44,TKO,"Tko Group Holdings, Inc.",Whitesell Patrick,174.48,176.67999267578125,68128471
2025-02-12 20:28:13,BPRN,"Princeton Bancorp, Inc.",Tuchman Martin,32.71,31.3799991607666,719620
2025-02-12 17:24:03,FLWS,1 800 Flowers Com Inc,"Fund 1 Investments, LLC",8.11,8.229999542236328,1135429
2025-02-12 17:21:33,SION,"Sionna Therapeutics, Inc.","Tpg Gp A, LLC",18.0,19.989999771118164,20250000
2025-02-12 16:31:24,MTH,Meritage Homes Corp,Hilton Steven J,74.51,73.23999786376953,819610
2025-02-12 16:05:59,AMCR,Amcor Plc,Konieczny Peter,10.05,9.989999771118164,1004780
2025-02-12 14:22:51,MAGN,Magnera Corp,Begle Curt,21.08,21.93000030517578,501297
2025-02-11 20:35:48,OXY,Occidental Petroleum Corp /De/,Berkshire Hathaway Inc,46.82,48.619998931884766,35724074
2025-02-11 19:51:08,KALV,"Kalvista Pharmaceuticals, Inc.","Venrock Healthcare Capital Partners Iii, L.P.",9.26,9.289999961853027,967145
2025-02-11 17:58:35,NVCT,"Nuvectis Pharma, Inc.",Mosseri Marlio Charles,5.0,6.300000190734863,1200000
2025-02-11 17:00:15,OCX,Oncocyte Corp,Smith Patrick W,2.05,2.3299999237060547,2209080
2025-02-11 16:45:14,NINE,"Nine Energy Service, Inc.",Monroe William,1.58,1.25,744019
2025-02-11 16:39:35,HP,"Helmerich & Payne, Inc.",Lindsay John W,27.55,27.239999771118164,551000
2025-02-11 12:14:10,BZH,Beazer Homes USA Inc,Johnson Lloyd Emerson,22.23,24.030000686645508,500236
2025-02-10 20:43:04,OCX,Oncocyte Corp,"Broadwood Partners, L.P.",2.05,2.069999933242798,10589675
2025-02-10 20:13:48,BZH,Beazer Homes USA Inc,Johnson Lloyd Emerson,22.68,22.61000061035156,510379
2025-02-10 18:07:45,MNR,Mach Natural Resources LP,McMullen William Wallace,15.5,16.229999542236328,79999995
2025-02-10 16:05:22,KFII,K&F Growth Acquisition Corp. II,K&F Growth Acquisition LLC II,10.0,,4954470
2025-02-10 16:05:04,SION,"Sionna Therapeutics, Inc.","Atlas Venture Fund Xi, L.P.",18.0,22.46999931335449,1080000
2025-02-10 16:01:42,MTCH,"Match Group, Inc.",Rascoff Spencer M,34.41,33.619998931884766,2049704
2025-02-10 16:01:33,EL,Estee Lauder Companies Inc,Fribourg Paul J,65.0,68.70999908447266,2957333
